,feature_name,element,Gain
0,V15,4.661713009700179,0.1742110715816126
1,V21,3.8527668034657836,0.14398025618248142
2,V4,3.8525200407020748,0.14397103450680068
3,V6,3.5528443614020944,0.13277197074865763
4,V18,3.4279601629823446,0.12810497173240662
5,Amount,2.0635226098820567,0.07711510433019121
6,V14,1.630759408697486,0.060942478331427304
7,V20,1.2604810297489166,0.04710494842645328
8,V1,0.9671110212802887,0.03614153145100256
9,V23,0.9265660047531128,0.03462633933990609
10,V2,0.49304500222206116,0.01842539384049044
11,V12,0.02857047040015459,0.0010676959850691866
12,V17,0.02653892058879137,0.0009917757238105957
13,V16,0.014595099724829197,0.0005454278196903683
