,feature_name,element,Gain
0,V3,14082.44687962532,0.609289506982329
1,V12,2820.0873980522156,0.12201357300287784
2,V14,1116.7181334495544,0.04831579673502085
3,V7,1019.4006950855255,0.044105271778069624
4,V17,871.4797489643097,0.03770534134659385
5,V4,741.5412826538086,0.032083438792790527
6,V11,288.9649410247803,0.012502323492297136
7,V26,240.78896808624268,0.010417947456582484
8,Time,230.18088221549988,0.009958979248467854
9,V16,213.07690179347992,0.009218960423057223
10,V24,199.72256690263748,0.008641173324602725
11,V9,163.53996968269348,0.007075701286261444
12,V8,139.34445023536682,0.006028860759096235
13,V10,124.9802588224411,0.005407381325941493
14,V21,113.4256317615509,0.004907460176905938
15,V13,110.09092855453491,0.004763181296232523
16,Amount,109.07807898521423,0.004719359464699004
17,V19,81.55621236562729,0.0035286015880871737
18,V2,74.81388115882874,0.003236888671147617
19,V20,60.66888904571533,0.002624893089375744
20,V25,59.87475919723511,0.002590534359817139
21,V15,58.94914935529232,0.0025504870321704596
22,V23,41.61482000350952,0.0018005019567857434
23,V6,35.2917645573616,0.0015269293760874737
24,V1,31.62544012069702,0.001368302609904915
25,V27,22.459429502487183,0.0009717270617561084
26,V22,21.220269918441772,0.0009181137274762674
27,V28,20.8876895904541,0.000903724345730059
28,V5,14.358719825744629,0.0006212427001008581
29,V18,4.710330009460449,0.0002037965897347368
