score,0_left,1_left,bad_ratio_left,good_ratio_left,0_right,1_right,bad_ratio_right,good_ratio_right,psi_bad,psi_good
"[300, 350)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"[350, 400)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"[400, 450)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"[450, 500)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"[500, 550)",4.0,1.0,0.3333333333333333,0.013422818791946308,3.0,2.0,0.2857142857142857,0.004335260115606936,0.007340508563202779,0.01027052746096822
"[550, 600)",16.0,2.0,0.6666666666666666,0.053691275167785234,53.0,3.0,0.42857142857142855,0.07658959537572255,0.10519827435215219,0.008133728858229999
"[600, 650)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"[650, 700)",2.0,0.0,0.0,0.006711409395973154,4.0,2.0,0.2857142857142857,0.005780346820809248,inf,0.00013904980894811946
"[700, 750)",18.0,0.0,0.0,0.06040268456375839,46.0,0.0,0.0,0.06647398843930635,,0.0005814923002569758
"[750, 800)",73.0,0.0,0.0,0.24496644295302014,192.0,0.0,0.0,0.2774566473988439,,0.004046442535204531
"[800, 850)",185.0,0.0,0.0,0.6208053691275168,394.0,0.0,0.0,0.569364161849711,,0.004449529905251286
"[850, 900)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"[900, 950)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"[950, 1000)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
